P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:25:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:25:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.00,12/18/2025 1:26:02 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Ware Malcomb\2025\250940 Loro Piana - Westfield UTC, San Diego, CA\Electrical\E07.00 SLD Panel Schedules.dwg,E07.01,12/18/2025 1:26:06 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-7-SLD - Panel Schedules.dwg,E-7.2,12/22/2025 12:54:26 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-8-Title-24.dwg,E-8.1,12/22/2025 12:54:34 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
P:\Nelson\BAC\2023\230270 BofA - Serramonte Plaza, 391 Gellert Blvd., Daly City, CA\Electrical\E-8-Title-24.dwg,E-8.2,12/22/2025 12:54:35 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-0 - Cover Sheet.dwg,E-0,12/22/2025 2:57:55 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-1.1-Power - 2nd Floor.dwg,E-1,12/22/2025 2:58:01 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-1-Power.dwg,E-1,12/22/2025 2:58:08 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-2-Lighting.dwg,E-2,12/22/2025 2:58:15 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-4 Specification.dwg,E-4,12/22/2025 2:58:19 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-5-Single line and schedules.dwg,E-5,12/22/2025 2:58:31 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-6-LTG Details.dwg,E-6,12/22/2025 2:58:37 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-7-Panel Schedules.dwg,E-7,12/22/2025 2:58:41 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-8-Title-24.dwg,E-8,12/22/2025 2:58:48 PM,JacobH,DWG To PDF.pc3,ARCH full bleed E1 (30.00 x 42.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-0 - Cover Sheet.dwg,E-0,12/22/2025 3:00:13 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-1.1-Power - 2nd Floor.dwg,E-1,12/22/2025 3:00:18 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-1-Power.dwg,E-1,12/22/2025 3:00:25 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-2-Lighting.dwg,E-2,12/22/2025 3:00:32 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-4 Specification.dwg,E-4,12/22/2025 3:00:36 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
M:\Gensler\BAC\2024\240951 BofA, 299 Ocean Ave., Laguna Beach, CA\Electrical\E-5-Single line and schedules.dwg,E-5,12/22/2025 3:00:49 PM,JacobH,DWG To PDF.pc3,ARCH full bleed D (24.00 x 36.00 Inches),1:1,
